x,y,z
47.90182570671358,61.148188592371525,a
58.52514786501173,104.62416951964713,a
51.66687408690416,34.11941975832906,a
169.543991299081,42.80370422452114,a
99.27363599098084,63.32424990871607,a
198.34733016012152,105.9378767595498,a
125.90214392002443,105.81712606600212,a
143.09532200873696,108.84748015478436,a
185.9153296087345,91.25348383679534,a
237.19698325075217,126.24339435187994,a
159.62999877581836,82.65760113295397,a
188.9209229974013,109.99456063773482,a
197.33453576633332,127.3518892683785,a
264.3736802279457,169.15530297793384,a
250.54221873374257,121.87927037612263,a
244.09723796562793,124.66771418741678,a
216.06323758124498,231.77114691316268,a
257.4994638661633,156.1736526932027,a
338.77952796894397,150.05815605631528,a
300.45540140287403,210.75288030425548,a
256.99046759703367,186.88075659389125,a
311.36704416534,205.79471002490618,a
324.4554658016221,192.01358392720186,a
351.06212852452916,220.07174031398353,a
315.110481740062,284.973388128136,a
354.98438074074244,231.76191177971498,a
404.20895411911044,243.5857374785288,a
379.43680011417314,230.19427904665883,a
399.3919240217171,294.0577010975778,a
400.14674546146153,248.6364118682284,a
428.0407066231425,265.0851647076663,a
440.4562191891381,279.5603920078613,a
446.82373370572196,217.72906846556162,a
381.80402902591595,298.1226602138405,a
463.66093325146755,320.05016543758484,a
468.26601334434343,295.06001278543056,a
445.91266081908805,247.51867895248117,a
443.48316855089206,275.9359407401615,a
478.25076594453856,327.4052265657311,a
433.54796410515314,303.3367793077075,a
477.04675895464527,309.26993459789537,a
441.7016335878638,280.6082836551367,a
468.136919569387,334.0323053741163,a
456.333199794607,265.7180260316306,a
488.67681852481513,290.76668148145234,a
512.3166248079038,337.191578664888,a
504.5825083066035,370.30095091059616,a
515.7943573193484,340.850489855641,a
521.8565117131238,379.60239073601446,a
550.1872954483341,378.09607306269754,a
535.4821540453501,352.79718481209466,a
483.857230197112,371.17031216818395,a
532.1113773770838,334.40929710695883,a
523.6103446198101,320.4632801138255,a
516.8982773288651,357.5856572911835,a
536.6977231188239,385.00127563251584,a
532.9986487451515,374.8894775566613,a
591.033111748139,411.0163522222971,a
536.3933456549756,349.55414151749335,a
558.8867548983218,343.93008331493274,a
552.4442045677201,371.9822030534898,a
531.7186294620832,409.74835090191095,a
567.8492501085076,375.224768036823,a
589.8789396837841,415.80496665956554,a
556.2079815667558,400.57923577353813,a
559.2433790680552,392.8761069281695,a
510.26450896143535,367.49419044369745,a
589.8360451807896,428.7599979657648,a
614.1854900810838,409.7820511506867,a
604.0439162491078,397.02236841902146,a
589.8869584999908,410.04859150785757,a
568.0071054379573,358.5772452295654,a
551.8290807172255,401.01933635899286,a
581.6454357996284,400.214490183419,a
613.4757309653459,383.72194680314965,a
596.0887692677068,378.0714084953887,a
573.7036171478032,407.0493426337798,a
601.3145709725052,365.9720005687872,a
556.3391974854482,422.91321837359914,a
592.4213601460724,413.9727181137699,a
602.0794861171611,407.2490313746938,a
614.0278136856742,402.8067565239314,a
631.525738431231,427.2441514682522,a
614.388101842684,412.0893982637464,a
616.1696121801798,444.28095726412664,a
598.3455585875303,461.0001322265141,a
281.16006257109063,73.90405815678162,b
259.1210804677183,36.4996775041397,b
238.17631534998495,21.913297791946434,b
263.50799805031096,26.218509890749317,b
234.0208338523931,64.51203401891473,b
303.3705945848767,34.5315400574122,b
295.3268390585053,39.8943700636097,b
307.5307199297108,97.92504855294834,b
344.31683588527807,111.68020849245408,b
388.73704586442824,109.06382331123405,b
366.81216176627396,64.21849559918923,b
382.9261134215308,65.71943106255611,b
389.3407372275795,108.19715072505119,b
406.14717392403475,88.2146327074986,b
422.9121812589641,111.5024246516474,b
391.5440030501483,124.54280694747024,b
452.51322244305396,109.70040070001386,b
462.9226039108693,132.85856853870513,b
455.02603812529753,95.68507411582618,b
505.94442030627084,114.09823438745383,b
516.2501822173934,129.4870036017606,b
445.64803474049353,155.4966723227979,b
484.95927648063133,110.58485801546959,b
482.45502851559564,194.17028451526687,b
470.2556136466987,182.7082247090508,b
474.53967599280867,136.7420878867523,b
526.2430333265919,167.35527829310894,b
457.0925889231547,126.25827678846252,b
522.0719769940814,142.4338504318842,b
552.7986274284332,155.81842962817876,b
509.8612096471358,180.86493679117928,b
526.5306705042553,170.37373493169787,b
576.886270140909,200.80546141493244,b
598.6006358997173,198.2971314456056,b
546.3599115564638,225.5079498771196,b
549.7764386054606,212.08142428468483,b
535.1219832941389,198.61573305426248,b
581.7423562132615,180.761358550245,b
575.0041333688227,223.62303879571743,b
588.073448692854,179.9987324608315,b
604.1697247309988,185.98780837454063,b
562.4139547857027,169.7021810475249,b
575.9730183682583,194.76150689422406,b
581.4545805407375,253.45061773330866,b
625.672637281892,218.92104154839836,b
606.8797124888132,217.75255462540946,b
